2,38,14,16,0,17,1,2,0,9,4,0,0,10,0,8,0,3,0,0,5,1,63,6,1,0,0,0,2,1,0
3,56,10,14,0,8,1,1,0,3,7,0,0,2,3,4,0,4,0,0,5,0,31,4,2,0,0,0,34,1,8
4,57,10,18,0,3,3,2,0,2,5,0,0,4,1,3,0,3,0,0,18,1,38,5,2,1,0,0,12,0,7
5,66,6,14,0,7,1,1,0,1,4,0,0,3,1,3,0,1,0,0,8,0,26,8,1,2,0,0,37,0,6
